Sigla;Codigo;Cidade;Populacao
PR;4100103;Abatiá;740
PR;4100202;Adrianópolis;585
PR;4100301;Agudos do Sul;9470
PR;4100400;Almirante Tamandaré;120041
PR;4100459;Altamira do Paraná;1682
PR;4100509;Altônia;22176
PR;4100608;Alto Paraná;14859
PR;4100707;Alto Piquiri;9778
PR;4100806;Alvorada do Sul;11503
PR;4100905;Amaporã;6332
PR;4101002;Ampére;19311
PR;4101051;Anahy;2788
PR;4101101;Andirá;19926
PR;4101150;Ângulo;2930
PR;4101200;Antonina;18949
PR;4101309;Antônio Olinto;7427
PR;4101408;Apucarana;136234
PR;4101507;Arapongas;124810
PR;4101606;Arapoti;28300
PR;4101655;Arapuã;3009
PR;4101705;Araruna;14000
PR;4101804;Araucária;146214
PR;4101853;Ariranha do Ivaí;2066
PR;4101903;Assaí;14954
PR;4102000;Assis Chateaubriand;33340
PR;4102109;Astorga;26209
PR;4102208;Atalaia;3881
PR;4102307;Balsa Nova;13092
PR;4102406;Bandeirantes;31211
PR;4102505;Barbosa Ferraz;11426
PR;4102604;Barracão;10312
PR;4102703;Barra do Jacaré;2781
PR;4102752;Bela Vista da Caroba;3457
PR;4102802;Bela Vista do Paraíso;15399
PR;4102901;Bituruna;16400
PR;4103008;Boa Esperança;4047
PR;4103024;Boa Esperança do Iguaçu;2470
PR;4103040;Boa Ventura de São Roque;6365
PR;4103057;Boa Vista da Aparecida;7540
PR;4103107;Bocaiúva do Sul;13129
PR;4103156;Bom Jesus do Sul;3506
PR;4103206;Bom Sucesso;7068
PR;4103222;Bom Sucesso do Sul;3254
PR;4103305;Borrazópolis;6439
PR;4103354;Braganey;5382
PR;4103370;Brasilândia do Sul;2585
PR;4103404;Cafeara;2954
PR;4103453;Cafelândia;18456
PR;4103479;Cafezal do Sul;4009
PR;4103503;Califórnia;8606
PR;4103602;Cambará;25466
PR;4103701;Cambé;107341
PR;4103800;Cambira;7917
PR;4103909;Campina da Lagoa;14043
PR;4103958;Campina do Simão;3859
PR;4104006;Campina Grande do Sul;43685
PR;4104055;Campo Bonito;3763
PR;4104105;Campo do Tenente;8045
PR;4104204;Campo Largo;133865
PR;4104253;Campo Magro;29740
PR;4104303;Campo Mourão;95488
PR;4104402;Cândido de Abreu;14809
PR;4104428;Candói;16053
PR;4104451;Cantagalo;13329
PR;4104501;Capanema;19148
PR;4104600;Capitão Leônidas Marques;15834
PR;4104659;Carambeí;23825
PR;4104709;Carlópolis;14356
PR;4104808;Cascavel;332333
PR;4104907;Castro;71809
PR;4105003;Catanduvas;10167
PR;4105102;Centenário do Sul;10764
PR;4105201;Cerro Azul;17833
PR;4105300;Céu Azul;11819
PR;4105409;Chopinzinho;19167
PR;4105508;Cianorte;83816
PR;4105607;Cidade Gaúcha;12797
PR;4105706;Clevelândia;16450
PR;4105805;Colombo;246540
PR;4105904;Colorado;24145
PR;4106001;Congonhinhas;8857
PR;4106100;Conselheiro Mairinck;3876
PR;4106209;Contenda;18837
PR;4106308;Corbélia;17117
PR;4106407;Cornélio Procópio;47842
PR;4106456;Coronel Domingos Soares;7518
PR;4106506;Coronel Vivida;20580
PR;4106555;Corumbataí do Sul;3127
PR;4106571;Cruzeiro do Iguaçu;4240
PR;4106605;Cruzeiro do Oeste;20947
PR;4106704;Cruzeiro do Sul;4449
PR;4106803;Cruz Machado;18741
PR;4106852;Cruzmaltina;2921
PR;4106902;Curitiba;1948626
PR;4107009;Curiúva;15196
PR;4107108;Diamante do Norte;5030
PR;4107124;Diamante do Sul;3424
PR;4107157;Diamante D'Oeste;5266
PR;4107207;Dois Vizinhos;41038
PR;4107256;Douradina;8869
PR;4107306;Doutor Camargo;5983
PR;4107405;Enéas Marques;5933
PR;4107504;Engenheiro Beltrão;13981
PR;4107520;Esperança Nova;1665
PR;4107538;Entre Rios do Oeste;4596
PR;4107546;Espigão Alto do Iguaçu;4048
PR;4107553;Farol;3041
PR;4107603;Faxinal;17316
PR;4107652;Fazenda Rio Grande;102004
PR;4107702;Fênix;4748
PR;4107736;Fernandes Pinheiro;5602
PR;4107751;Figueira;7696
PR;4107801;Floraí;4906
PR;4107850;Flor da Serra do Sul;4603
PR;4107900;Floresta;6851
PR;4108007;Florestópolis;10453
PR;4108106;Flórida;2699
PR;4108205;Formosa do Oeste;6460
PR;4108304;Foz do Iguaçu;258248
PR;4108320;Francisco Alves;5993
PR;4108403;Francisco Beltrão;92216
PR;4108452;Foz do Jordão;4556
PR;4108502;General Carneiro;13685
PR;4108551;Godoy Moreira;2898
PR;4108601;Goioerê;28808
PR;4108650;Goioxim;7053
PR;4108700;Grandes Rios;5497
PR;4108809;Guaíra;33310
PR;4108908;Guairaçá;6609
PR;4108957;Guamiranga;8811
PR;4109005;Guapirama;3784
PR;4109104;Guaporema;2241
PR;4109203;Guaraci;5530
PR;4109302;Guaraniaçu;12217
PR;4109401;Guarapuava;182644
PR;4109500;Guaraqueçaba;7594
PR;4109609;Guaratuba;37527
PR;4109658;Honório Serpa;5119
PR;4109708;Ibaiti;31644
PR;4109757;Ibema;6370
PR;4109807;Ibiporã;55131
PR;4109906;Icaraíma;7786
PR;4110003;Iguaraçu;4440
PR;4110052;Iguatu;2253
PR;4110078;Imbaú;13282
PR;4110102;Imbituva;32940
PR;4110201;Inácio Martins;11121
PR;4110300;Inajá;3116
PR;4110409;Indianópolis;4465
PR;4110508;Ipiranga;15251
PR;4110607;Iporã;13782
PR;4110656;Iracema do Oeste;2251
PR;4110706;Irati;61088
PR;4110805;Iretama;10098
PR;4110904;Itaguajé;4446
PR;4110953;Itaipulândia;11385
PR;4111001;Itambaracá;6549
PR;4111100;Itambé;6109
PR;4111209;Itapejara d'Oeste;12094
PR;4111258;Itaperuçu;29070
PR;4111308;Itaúna do Sul;2781
PR;4111407;Ivaí;13965
PR;4111506;Ivaiporã;31935
PR;4111555;Ivaté;8240
PR;4111605;Ivatuba;3279
PR;4111704;Jaboti;5303
PR;4111803;Jacarezinho;39322
PR;4111902;Jaguapitã;13742
PR;4112009;Jaguariaíva;35027
PR;4112108;Jandaia do Sul;21230
PR;4112207;Janiópolis;5095
PR;4112306;Japira;4930
PR;4112405;Japurá;9500
PR;4112504;Jardim Alegre;11196
PR;4112603;Jardim Olinda;1320
PR;4112702;Jataizinho;12638
PR;4112751;Jesuítas;8330
PR;4112801;Joaquim Távora;12009
PR;4112900;Jundiaí do Sul;3269
PR;4112959;Juranda;7292
PR;4113007;Jussara;7041
PR;4113106;Kaloré;4047
PR;4113205;Lapa;48410
PR;4113254;Laranjal;5784
PR;4113304;Laranjeiras do Sul;32139
PR;4113403;Leópolis;3925
PR;4113429;Lidianópolis;3231
PR;4113452;Lindoeste;4592
PR;4113502;Loanda;23242
PR;4113601;Lobato;4819
PR;4113700;Londrina;575377
PR;4113734;Luiziana;7240
PR;4113759;Lunardelli;4744
PR;4113809;Lupionópolis;4945
PR;4113908;Mallet;13663
PR;4114005;Mamborê;13014
PR;4114104;Mandaguaçu;23100
PR;4114203;Mandaguari;34515
PR;4114302;Mandirituba;27315
PR;4114351;Manfrinópolis;2506
PR;4114401;Mangueirinha;16642
PR;4114500;Manoel Ribas;13510
PR;4114609;Marechal Cândido Rondon;53495
PR;4114708;Maria Helena;5634
PR;4114807;Marialva;35804
PR;4114906;Marilândia do Sul;8814
PR;4115002;Marilena;7084
PR;4115101;Mariluz;10336
PR;4115200;Maringá;430157
PR;4115309;Mariópolis;6632
PR;4115358;Maripá;5582
PR;4115408;Marmeleiro;14387
PR;4115457;Marquinho;4340
PR;4115507;Marumbi;4677
PR;4115606;Matelândia;18107
PR;4115705;Matinhos;35219
PR;4115739;Mato Rico;3206
PR;4115754;Mauá da Serra;10800
PR;4115804;Medianeira;46574
PR;4115853;Mercedes;5577
PR;4115903;Mirador;2196
PR;4116000;Miraselva;1796
PR;4116059;Missal;10704
PR;4116109;Moreira Sales;12042
PR;4116208;Morretes;16446
PR;4116307;Munhoz de Melo;4009
PR;4116406;Nossa Senhora das Graças;4008
PR;4116505;Nova Aliança do Ivaí;1551
PR;4116604;Nova América da Colina;3434
PR;4116703;Nova Aurora;10299
PR;4116802;Nova Cantu;5061
PR;4116901;Nova Esperança;27984
PR;4116950;Nova Esperança do Sudoeste;5030
PR;4117008;Nova Fátima;8136
PR;4117057;Nova Laranjeiras;11507
PR;4117107;Nova Londrina;13200
PR;4117206;Nova Olímpia;5826
PR;4117214;Nova Santa Bárbara;4277
PR;4117222;Nova Santa Rosa;8266
PR;4117255;Nova Prata do Iguaçu;10544
PR;4117271;Nova Tebas;5448
PR;4117297;Novo Itacolomi;2840
PR;4117305;Ortigueira;21960
PR;4117404;Ourizona;3425
PR;4117453;Ouro Verde do Oeste;6016
PR;4117503;Paiçandu;41773
PR;4117602;Palmas;51755
PR;4117701;Palmeira;33994
PR;4117800;Palmital;12960
PR;4117909;Palotina;32121
PR;4118006;Paraíso do Norte;14023
PR;4118105;Paranacity;11580
PR;4118204;Paranaguá;156174
PR;4118303;Paranapoema;3241
PR;4118402;Paranavaí;88922
PR;4118451;Pato Bragado;5684
PR;4118501;Pato Branco;83843
PR;4118600;Paula Freitas;5908
PR;4118709;Paulo Frontin;7387
PR;4118808;Peabiru;14007
PR;4118857;Perobal;6160
PR;4118907;Pérola;11321
PR;4119004;Pérola d'Oeste;6288
PR;4119103;Piên;12882
PR;4119152;Pinhais;133490
PR;4119202;Pinhalão;6324
PR;4119251;Pinhal de São Bento;2737
PR;4119301;Pinhão;32559
PR;4119400;Piraí do Sul;25617
PR;4119509;Piraquara;114970
PR;4119608;Pitanga;29994
PR;4119657;Pitangueiras;3262
PR;4119707;Planaltina do Paraná;4272
PR;4119806;Planalto;13431
PR;4119905;Ponta Grossa;355336
PR;4119954;Pontal do Paraná;27915
