Data OtimoBom Regular RuimPessimo NaoSabe
01.04.2016 13 24 63 1
01.03.2016 10 21 69 1
01.02.2016 11 25 64 1
01.12.2015 12 22 65 1
01.11.2015 10 22 67 1
01.08.2015 8 20 71 1
01.04.2015 13 27 60 1
01.02.2015 13 24 62 1
01.02.2015 23 33 44 1
01.12.2014 42 33 24 1
01.10.2014 42 37 20 1
01.09.2014 39 37 23 1
01.08.2014 35 39 26 1
01.07.2014 32 38 29 1
01.06.2014 33 38 28 1
01.05.2014 35 38 26 1
01.04.2014 36 39 25 1
01.02.2014 41 37 21 1
01.11.2013 41 40 17 1
01.10.2013 38 42 19 1
01.08.2013 36 42 22 1
01.06.2013 30 43 25 1
01.03.2013 65 27 7 1
01.12.2012 62 30 7 1
01.08.2012 62 30 7 1
01.04.2012 64 29 5 1
01.01.2012 59 33 6 2
01.08.2011 48 39 11 3
01.06.2011 49 38 10 3
01.03.2011 47 34 7 12
