Data	OtimoBom	Regular	RuimPessimo	NaoSabe
01.12.2002	26	36	36	2
01.10.2002	26	38	32	4
01.09.2002	23	39	35	3
01.08.2002	26	39	32	3
01.07.2002	31	40	26	2
01.06.2002	31	40	28	2
01.05.2002	27	41	29	3
01.04.2002	28	41	29	2
01.03.2002	29	41	28	3
01.02.2002	31	38	29	2
01.12.2001	24	40	35	2
01.11.2001	24	38	36	2
01.09.2001	22	40	36	2
01.06.2001	19	38	42	1
01.03.2001	26	42	30	1
01.12.2000	24	39	35	2
01.10.2000	23	38	37	2
01.06.2000	19	38	41	2
01.03.2000	18	37	43	2
01.12.1999	16	36	46	3
01.09.1999	13	27	56	3
01.06.1999	16	38	44	3
01.02.1999	21	39	36	4
01.12.1998	35	37	25	3
01.09.1998	43	37	17	2
01.08.1998	39	40	18	3
01.07.1998	38	41	19	2
01.06.1998	31	41	25	3
01.05.1998	31	43	24	2
01.04.1998	35	41	21	3
01.03.1998	38	39	21	2
01.12.1997	37	40	20	3
01.09.1997	43	41	15	1
01.06.1997	39	42	16	2
01.05.1997	42	38	18	2
01.12.1996	47	38	12	3
01.09.1996	43	38	17	2
01.06.1996	30	41	25	5
01.12.1995	41	40	15	4
01.09.1995	42	39	15	4
01.06.1995	40	40	17	3
01.03.1995	39	40	16	5
