Data	OtimoBom	Regular	RuimPessimo	NaoSabe
01.11.2010	83	13	4	0
01.10.2010	83	13	3	0
01.09.2010	78	17	4	0
01.08.2010	79	17	4	0
01.07.2010	77	19	4	1
01.05.2010	76	19	5	1
01.04.2010	73	22	5	1
01.03.2010	76	20	4	1
01.02.2010	73	20	5	1
01.12.2009	72	21	6	1
01.08.2009	67	25	8	1
01.05.2009	69	24	6	1
01.03.2009	65	27	8	0
01.11.2008	70	23	7	0
01.09.2008	64	28	8	1
01.03.2008	55	33	11	1
01.11.2007	50	35	14	1
01.08.2007	48	36	15	1
01.03.2007	48	37	14	1
01.12.2006	52	34	14	1
01.10.2006	53	31	15	1
01.09.2006	47	34	17	1
01.08.2006	48	36	16	1
01.07.2006	38	40	21	1
01.05.2006	39	37	22	1
01.04.2006	37	38	23	1
01.03.2006	38	38	23	1
01.02.2006	37	39	22	1
01.12.2005	28	41	29	1
01.10.2005	28	42	28	2
01.08.2005	31	41	26	1
01.07.2005	35	40	23	1
01.06.2005	36	44	19	1
01.05.2005	35	45	18	1
01.12.2004	45	40	13	1
01.08.2004	35	45	17	3
01.03.2004	38	43	17	2
01.12.2003	42	41	15	2
01.10.2003	42	44	11	3
01.08.2003	45	42	11	3
01.06.2003	42	43	11	4
01.04.2003	43	40	10	7
